"MovieID" "ratings_per_movie" "ave_ratings" "Title" "Genres" "Year" "Genre"
1148 882 4.508 "Wrong Trousers, The (1993)" "Animation|Comedy" 1993 "Animation"
720 438 4.427 "Wallace & Gromit: The Best of Aardman Animation (1996)" "Animation" 1996 "Animation"
1223 473 4.362 "Grand Day Out, A (1992)" "Animation|Comedy" 1992 "Animation"
3429 274 4.336 "Creature Comforts (1990)" "Animation|Comedy" 1990 "Animation"
3114 1585 4.219 "Toy Story 2 (1999)" "Animation|Children's|Comedy" 1999 "Animation"
3000 345 4.148 "Princess Mononoke, The (Mononoke Hime) (1997)" "Action|Adventure|Animation" 1997 "Animation"
1 2077 4.147 "Toy Story (1995)" "Animation|Children's|Comedy" 1995 "Animation"
741 314 4.089 "Ghost in the Shell (Kokaku kidotai) (1995)" "Animation|Sci-Fi" 1995 "Animation"
2761 674 4.047 "Iron Giant, The (1999)" "Animation|Children's" 1999 "Animation"
919 1718 4.248 "Wizard of Oz, The (1939)" "Adventure|Children's|Drama|Musical" 1939 "Children's"
3114 1585 4.219 "Toy Story 2 (1999)" "Animation|Children's|Comedy" 1999 "Children's"
1 2077 4.147 "Toy Story (1995)" "Animation|Children's|Comedy" 1995 "Children's"
2761 674 4.047 "Iron Giant, The (1999)" "Animation|Children's" 1999 "Children's"
1023 221 3.986 "Winnie the Pooh and the Blustery Day (1968)" "Animation|Children's" 1968 "Children's"
1097 2269 3.965 "E.T. the Extra-Terrestrial (1982)" "Children's|Drama|Fantasy|Sci-Fi" 1982 "Children's"
1282 943 3.905 "Fantasia (1940)" "Animation|Children's|Musical" 1940 "Children's"
1028 1011 3.894 "Mary Poppins (1964)" "Children's|Comedy|Musical" 1964 "Children's"
34 1751 3.891 "Babe (1995)" "Children's|Comedy|Drama" 1995 "Children's"
595 1060 3.886 "Beauty and the Beast (1991)" "Animation|Children's|Musical" 1991 "Children's"
745 657 4.521 "Close Shave, A (1995)" "Animation|Comedy|Thriller" 1995 "Comedy"
1148 882 4.508 "Wrong Trousers, The (1993)" "Animation|Comedy" 1993 "Comedy"
3030 215 4.405 "Yojimbo (1961)" "Comedy|Drama|Western" 1961 "Comedy"
3307 271 4.387 "City Lights (1931)" "Comedy|Drama|Romance" 1931 "Comedy"
3022 206 4.369 "General, The (1927)" "Comedy" 1927 "Comedy"
1223 473 4.362 "Grand Day Out, A (1992)" "Animation|Comedy" 1992 "Comedy"
3429 274 4.336 "Creature Comforts (1990)" "Animation|Comedy" 1990 "Comedy"
1136 1599 4.335 "Monty Python and the Holy Grail (1974)" "Comedy" 1974 "Comedy"
2324 1152 4.33 "Life Is Beautiful (La Vita è bella) (1997)" "Comedy|Drama" 1997 "Comedy"
1234 1049 4.32 "Sting, The (1973)" "Comedy|Crime" 1973 "Comedy"
858 2223 4.525 "Godfather, The (1972)" "Action|Crime|Drama" 1972 "Crime"
50 1783 4.517 "Usual Suspects, The (1995)" "Crime|Thriller" 1995 "Crime"
3435 551 4.416 "Double Indemnity (1944)" "Crime|Film-Noir" 1944 "Crime"
1221 1692 4.358 "Godfather: Part II, The (1974)" "Action|Crime|Drama" 1974 "Crime"
1234 1049 4.32 "Sting, The (1973)" "Comedy|Crime" 1973 "Crime"
1260 308 4.302 "M (1931)" "Crime|Film-Noir|Thriller" 1931 "Crime"
910 832 4.3 "Some Like It Hot (1959)" "Comedy|Crime" 1959 "Crime"
296 2171 4.278 "Pulp Fiction (1994)" "Crime|Drama" 1994 "Crime"
1213 1657 4.275 "GoodFellas (1990)" "Crime|Drama" 1990 "Crime"
1945 519 4.27 "On the Waterfront (1954)" "Crime|Drama" 1954 "Crime"
1147 277 4.321 "When We Were Kings (1996)" "Documentary" 1996 "Documentary"
1189 269 4.253 "Thin Blue Line, The (1988)" "Documentary" 1988 "Documentary"
2859 239 4.234 "Stop Making Sense (1984)" "Documentary" 1984 "Documentary"
556 132 4.227 "War Room, The (1993)" "Documentary" 1993 "Documentary"
1361 159 4.214 "Paradise Lost: The Child Murders at Robin Hood Hills (1996)" "Documentary" 1996 "Documentary"
246 716 4.189 "Hoop Dreams (1994)" "Documentary" 1994 "Documentary"
2064 798 4.074 "Roger & Me (1989)" "Comedy|Documentary" 1989 "Documentary"
162 491 4.063 "Crumb (1994)" "Documentary" 1994 "Documentary"
2677 230 4.057 "Buena Vista Social Club (1999)" "Documentary" 1999 "Documentary"
581 141 4.05 "Celluloid Closet, The (1995)" "Documentary" 1995 "Documentary"
2019 628 4.561 "Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)" "Action|Drama" 1954 "Drama"
318 2227 4.555 "Shawshank Redemption, The (1994)" "Drama" 1994 "Drama"
858 2223 4.525 "Godfather, The (1972)" "Action|Crime|Drama" 1972 "Drama"
527 2304 4.51 "Schindler's List (1993)" "Drama|War" 1993 "Drama"
1178 230 4.474 "Paths of Glory (1957)" "Drama|War" 1957 "Drama"
1207 928 4.426 "To Kill a Mockingbird (1962)" "Drama" 1962 "Drama"
912 1669 4.413 "Casablanca (1942)" "Drama|Romance|War" 1942 "Drama"
3030 215 4.405 "Yojimbo (1961)" "Comedy|Drama|Western" 1961 "Drama"
1193 1725 4.391 "One Flew Over the Cuckoo's Nest (1975)" "Drama" 1975 "Drama"
923 1116 4.389 "Citizen Kane (1941)" "Drama" 1941 "Drama"
260 2991 4.454 "Star Wars: Episode IV - A New Hope (1977)" "Action|Adventure|Fantasy|Sci-Fi" 1977 "Fantasy"
1097 2269 3.965 "E.T. the Extra-Terrestrial (1982)" "Children's|Drama|Fantasy|Sci-Fi" 1982 "Fantasy"
247 477 3.866 "Heavenly Creatures (1994)" "Drama|Fantasy|Romance|Thriller" 1994 "Fantasy"
1073 1313 3.861 "Willy Wonka and the Chocolate Factory (1971)" "Adventure|Children's|Comedy|Fantasy" 1971 "Fantasy"
2797 1491 3.856 "Big (1988)" "Comedy|Fantasy" 1988 "Fantasy"
2138 305 3.843 "Watership Down (1978)" "Animation|Children's|Drama|Fantasy" 1978 "Fantasy"
2872 742 3.813 "Excalibur (1981)" "Action|Drama|Fantasy|Romance" 1981 "Fantasy"
1019 575 3.703 "20,000 Leagues Under the Sea (1954)" "Adventure|Children's|Fantasy|Sci-Fi" 1954 "Fantasy"
2968 1010 3.694 "Time Bandits (1981)" "Adventure|Fantasy|Sci-Fi" 1981 "Fantasy"
3479 542 3.673 "Ladyhawke (1985)" "Adventure|Fantasy|Romance" 1985 "Fantasy"
922 470 4.491 "Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)" "Film-Noir" 1950 "Film-Noir"
3435 551 4.416 "Double Indemnity (1944)" "Crime|Film-Noir" 1944 "Film-Noir"
913 1043 4.396 "Maltese Falcon, The (1941)" "Film-Noir|Mystery" 1941 "Film-Noir"
1252 1185 4.339 "Chinatown (1974)" "Film-Noir|Mystery|Thriller" 1974 "Film-Noir"
1267 765 4.333 "Manchurian Candidate, The (1962)" "Film-Noir|Thriller" 1962 "Film-Noir"
1284 541 4.312 "Big Sleep, The (1946)" "Film-Noir|Mystery" 1946 "Film-Noir"
2186 482 4.305 "Strangers on a Train (1951)" "Film-Noir|Thriller" 1951 "Film-Noir"
1260 308 4.302 "M (1931)" "Crime|Film-Noir|Thriller" 1931 "Film-Noir"
930 445 4.294 "Notorious (1946)" "Film-Noir|Romance|Thriller" 1946 "Film-Noir"
541 1800 4.273 "Blade Runner (1982)" "Film-Noir|Sci-Fi" 1982 "Film-Noir"
1278 1193 4.251 "Young Frankenstein (1974)" "Comedy|Horror" 1974 "Horror"
1219 1263 4.219 "Psycho (1960)" "Horror|Thriller" 1960 "Horror"
1214 2024 4.16 "Alien (1979)" "Action|Horror|Sci-Fi|Thriller" 1979 "Horror"
1258 1087 4.105 "Shining, The (1980)" "Horror" 1980 "Horror"
1387 1697 4.09 "Jaws (1975)" "Action|Horror" 1975 "Horror"
1348 238 3.992 "Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)" "Horror" 1922 "Horror"
2648 406 3.975 "Frankenstein (1931)" "Horror" 1931 "Horror"
1997 885 3.956 "Exorcist, The (1973)" "Horror" 1973 "Horror"
1340 216 3.912 "Bride of Frankenstein (1935)" "Horror" 1935 "Horror"
2664 628 3.912 "Invasion of the Body Snatchers (1956)" "Horror|Sci-Fi" 1956 "Horror"
899 751 4.284 "Singin' in the Rain (1952)" "Musical|Romance" 1952 "Musical"
919 1718 4.248 "Wizard of Oz, The (1939)" "Adventure|Children's|Drama|Musical" 1939 "Musical"
1288 1118 4.18 "This Is Spinal Tap (1984)" "Comedy|Drama|Musical" 1984 "Musical"
1066 175 4.166 "Shall We Dance? (1937)" "Comedy|Musical|Romance" 1937 "Musical"
914 636 4.154 "My Fair Lady (1964)" "Musical|Romance" 1964 "Musical"
945 251 4.147 "Top Hat (1935)" "Comedy|Musical|Romance" 1935 "Musical"
2300 658 4.144 "Producers, The (1968)" "Comedy|Musical" 1968 "Musical"
1947 761 4.058 "West Side Story (1961)" "Musical|Romance" 1961 "Musical"
2565 372 3.954 "King and I, The (1956)" "Musical" 1956 "Musical"
3606 169 3.941 "On the Town (1949)" "Musical" 1949 "Musical"
904 1050 4.476 "Rear Window (1954)" "Mystery|Thriller" 1954 "Mystery"
1212 480 4.452 "Third Man, The (1949)" "Mystery|Thriller" 1949 "Mystery"
913 1043 4.396 "Maltese Falcon, The (1941)" "Film-Noir|Mystery" 1941 "Mystery"
1252 1185 4.339 "Chinatown (1974)" "Film-Noir|Mystery|Thriller" 1974 "Mystery"
1284 541 4.312 "Big Sleep, The (1946)" "Film-Noir|Mystery" 1946 "Mystery"
903 905 4.273 "Vertigo (1958)" "Mystery|Thriller" 1958 "Mystery"
3730 453 4.249 "Conversation, The (1974)" "Drama|Mystery" 1974 "Mystery"
950 292 4.24 "Thin Man, The (1934)" "Mystery" 1934 "Mystery"
3801 199 4.231 "Anatomy of a Murder (1959)" "Drama|Mystery" 1959 "Mystery"
1617 2288 4.219 "L.A. Confidential (1997)" "Crime|Film-Noir|Mystery|Thriller" 1997 "Mystery"
912 1669 4.413 "Casablanca (1942)" "Drama|Romance|War" 1942 "Romance"
3307 271 4.387 "City Lights (1931)" "Comedy|Drama|Romance" 1931 "Romance"
1197 2318 4.304 "Princess Bride, The (1987)" "Action|Adventure|Comedy|Romance" 1987 "Romance"
898 582 4.301 "Philadelphia Story, The (1940)" "Comedy|Romance" 1940 "Romance"
930 445 4.294 "Notorious (1946)" "Film-Noir|Romance|Thriller" 1946 "Romance"
1172 615 4.288 "Cinema Paradiso (1988)" "Comedy|Drama|Romance" 1988 "Romance"
899 751 4.284 "Singin' in the Rain (1952)" "Musical|Romance" 1952 "Romance"
969 1057 4.252 "African Queen, The (1951)" "Action|Adventure|Romance|War" 1951 "Romance"
1247 1261 4.246 "Graduate, The (1967)" "Drama|Romance" 1967 "Romance"
2692 1072 4.225 "Run Lola Run (Lola rennt) (1998)" "Action|Crime|Romance" 1998 "Romance"
260 2991 4.454 "Star Wars: Episode IV - A New Hope (1977)" "Action|Adventure|Fantasy|Sci-Fi" 1977 "Sci-Fi"
750 1367 4.45 "Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)" "Sci-Fi|War" 1963 "Sci-Fi"
2571 2590 4.316 "Matrix, The (1999)" "Action|Sci-Fi|Thriller" 1999 "Sci-Fi"
1196 2990 4.293 "Star Wars: Episode V - The Empire Strikes Back (1980)" "Action|Adventure|Drama|Sci-Fi|War" 1980 "Sci-Fi"
541 1800 4.273 "Blade Runner (1982)" "Film-Noir|Sci-Fi" 1982 "Sci-Fi"
1214 2024 4.16 "Alien (1979)" "Action|Horror|Sci-Fi|Thriller" 1979 "Sci-Fi"
1240 2098 4.152 "Terminator, The (1984)" "Action|Sci-Fi|Thriller" 1984 "Sci-Fi"
1253 559 4.141 "Day the Earth Stood Still, The (1951)" "Drama|Sci-Fi" 1951 "Sci-Fi"
1200 1820 4.126 "Aliens (1986)" "Action|Sci-Fi|Thriller|War" 1986 "Sci-Fi"
1199 913 4.097 "Brazil (1985)" "Sci-Fi" 1985 "Sci-Fi"
745 657 4.521 "Close Shave, A (1995)" "Animation|Comedy|Thriller" 1995 "Thriller"
50 1783 4.517 "Usual Suspects, The (1995)" "Crime|Thriller" 1995 "Thriller"
904 1050 4.476 "Rear Window (1954)" "Mystery|Thriller" 1954 "Thriller"
1212 480 4.452 "Third Man, The (1949)" "Mystery|Thriller" 1949 "Thriller"
2762 2459 4.406 "Sixth Sense, The (1999)" "Thriller" 1999 "Thriller"
908 1315 4.384 "North by Northwest (1959)" "Drama|Thriller" 1959 "Thriller"
593 2578 4.352 "Silence of the Lambs, The (1991)" "Drama|Thriller" 1991 "Thriller"
1252 1185 4.339 "Chinatown (1974)" "Film-Noir|Mystery|Thriller" 1974 "Thriller"
1267 765 4.333 "Manchurian Candidate, The (1962)" "Film-Noir|Thriller" 1962 "Thriller"
2571 2590 4.316 "Matrix, The (1999)" "Action|Sci-Fi|Thriller" 1999 "Thriller"
527 2304 4.51 "Schindler's List (1993)" "Drama|War" 1993 "War"
1178 230 4.474 "Paths of Glory (1957)" "Drama|War" 1957 "War"
750 1367 4.45 "Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)" "Sci-Fi|War" 1963 "War"
912 1669 4.413 "Casablanca (1942)" "Drama|Romance|War" 1942 "War"
1204 831 4.402 "Lawrence of Arabia (1962)" "Adventure|War" 1962 "War"
1250 938 4.387 "Bridge on the River Kwai, The (1957)" "Drama|War" 1957 "War"
1262 696 4.376 "Great Escape, The (1963)" "Adventure|War" 1963 "War"
3134 165 4.339 "Grand Illusion (Grande illusion, La) (1937)" "Drama|War" 1937 "War"
2028 2653 4.337 "Saving Private Ryan (1998)" "Action|Drama|War" 1998 "War"
1233 1001 4.303 "Boat, The (Das Boot) (1981)" "Action|Drama|War" 1981 "War"
3030 215 4.405 "Yojimbo (1961)" "Comedy|Drama|Western" 1961 "Western"
1304 1419 4.216 "Butch Cassidy and the Sundance Kid (1969)" "Action|Comedy|Western" 1969 "Western"
1283 403 4.179 "High Noon (1952)" "Western" 1952 "Western"
1201 822 4.134 "Good, The Bad and The Ugly, The (1966)" "Action|Western" 1966 "Western"
1266 997 4.09 "Unforgiven (1992)" "Western" 1992 "Western"
599 264 4.087 "Wild Bunch, The (1969)" "Western" 1969 "Western"
3365 245 4.086 "Searchers, The (1956)" "Western" 1956 "Western"
3671 1119 4.047 "Blazing Saddles (1974)" "Comedy|Western" 1974 "Western"
3037 591 4.044 "Little Big Man (1970)" "Comedy|Drama|Western" 1970 "Western"
3508 365 4.044 "Outlaw Josey Wales, The (1976)" "Western" 1976 "Western"
